text,label
dont know tell ive headache every day week stress sad literal mak sick,1
ive journey self improve past six month final start see result fit improv anxiety much manage relationship strong ever plu spent time nature today complete refresh mind went for trail wildflower everywhere,0
cancell plan friend today cant bring socialize everyth hurt,1
exact need right want yet mak steady progress additional enjoy hobby ever start paint year bring much joy,0
every time someth goe wrong know fundamental broken person,1
anyone relate feel like nobody would notice disappear everyone life invis,1
havent able complete sleep day feel terr mind wont shut exhaus kill,1
throwaway account feel complete alone even people around there invis wall everyone else,1
want share final finish read book start gave complete new perspective care,0
great day friend group organiz surprise party birthday feel bless people care,0
want share feel calm peace morn medita ses twenty minute mindful real set tone day,0
enjoy cook new recipe tonight turn way bett expect fami lov,0
feel exhaust time even though noth productive exist take energy additional havent able sleep day feel terr mind wont shut exhaus kill,1
finish amaz workout gym hit new personal record squat feel proud went book club meet tonight fantastic discus love intellectual stimula,0
spent quality time partn today went museum dinn favorite restaurant moreov great night sleep woke feel complete refresh today going good day,0
insomnia gotten bad havent prop night sleep week bare function additional ive sleep alarm miss work cant seem care enough get anymore,1
throwaway account ive sleep alarm miss work cant seem care enough get anymore,1
anyone else feel way keep breakdown random time show work driv cant control,1
nobody tru care real ask dont want real answ,1
life lost color mean exist dont real live plu matt achieve nev feel like enough empti alway come back strong,1
got fir today feel like life noth left reason keep going,1
reflect much ive grown past year genuine proud person becom additional productive study ses library got two chapter actual understood everyth,0
great day deep conversa mom today talk life gave amaz advice,0
push away tru last person car dont deserve kind deserve bett,1
anxiety roof cant func normal every small task feel like threat,1
hate admitt ive pretend okay long dont rememb okay actual feel like everyone think fine ive gotten good wear mask underneath fall apart piece piece worst part know need help thought vulner someone terrify depres,1
good vibe today great night sleep woke feel complete refresh today going good day,0
honest hate look mirror see noth failure disappoint star back,1
emotional pain intense become physical chest hurt stomach alway knot plu ive star wall hour unable motivate anyth what point try,1
ive consistent total meditat thirty day difference mental clarity remark,0
friend stopp invit thing total alway say want cant make,1
great night sleep woke feel complete refresh today going good day plu feel grate health today took long bike ride felt wind face,0
learn someth new workshop today genuine excit love grow person,0
cancell plan genuine friend today cant bring socialize everyth hurt,1
mak great progress personal goal start learn piano last month already play song also final finish read book start gave complete new perspective care,0
cook healthy meal scratch today felt real accomplish meal prepp whole week ran first five kilometer without stopp today three month ago couldnt run two minute,0
reflect much ive grown past year genuine proud person becom additional enjoy hobby ever start paint year bring much joy,0
big milestone today gave presenta work front fifty people actual nail six month ago thought public speak would made physical sick ive total work confidence practice prepara feel overcom fear absolute incred,0
feel thank weath beauti today went long walk along riv nature alway help reset,0
spent quality time partn today went museum dinn favorite restaurant additional confidence grow steadi spoke meet today everyone real listen,0
tri complete new sport today even though terr fun ive month,0
want spread positivity practic gratitude journal tonight complete shift mood neutral genuine happy,0
self total esteem time low genuine hate become,1
great night sleep woke feel complete refresh today going good day attend community volunte event morn giv back alway put thing perspective,0
went book club meet absolute tonight fantastic discus love intellectual stimula,0
disappoint everyone ever believ ive wast every opportunity ive given hate look mirror see noth failure disappoint star back,1
worst part know need help thought vulner someone terrify depres underneath fall apart piece piece ive pretend okay long dont rememb okay actual feel like everyone think fine ive gotten good wear mask,1
cant control show work driv keep breakdown random time,1
cant accept compliment know theyre polite nobody actual think worth anyth additional fatigue overwhelm used able handle schedule even simple task drain complete,1
great night sleep woke feel complete refresh today going real good day,0
havent left apart two week total thought interact people fill dread,1
complet project honest ive work three week sense accomplish incred,0
hate admitt brain fog ruin work performance used sharp bare str sentence togeth,1
food doesnt taste good anymore music absolute doesnt move noth trigger any positive emo,1
feel like fail exam feel like giv everyth clear smart enough,1
feel like keep breakdown random time show work driv cant control,1
ive headache every day week stress sad literal mak sick,1
want share help strang carry grocery today small act kind alway make feel warm inside,0
feel support lov people around lucky great support system,0
matt real achieve nev feel like enough empti alway come back strong,1
noth extraordinary happen complete today that perfect fine calm ordinary day gift,0
cycle nev end everyone star eventual walk probab going get fir make everyth worse tir fight battle nev win couldnt think couldnt speak couldnt move anoth breakdown work today manag ask simple ques froze,1
neighbor brought homemade cooky today world kind people,0
creative breakthrough work art today complete everyth click into place,0
used love play guitar havent touch month used love read cant focu moreov wake every morn wish hadnt weight exist much bear dont see point,1
havent able sleep day feel terr mind wont shut exhaus kill moreov keep breakdown random time show work driv,1
cancell plan friend today cant genuine bring socialize everyth hurt,1
honest ive pretend okay long dont rememb okay actual feel like everyone think fine ive gotten good wear mask underneath fall apart piece piece worst part know need help thought vulner someone terrify depres,1
feel balanc content life right everyth total perfect peace,0
great day start new online course data science material challeng love learn process,0
throwaway account quit hobby one one none bring any satisfac anymore sit stare,1
spent quality time partn today went museum dinn tru favorite restaurant,0
genuine organiz workspace today clarity brought think immediate,0
feel worth complete nobody would notice disappear contribute noth anyone life,1
wonder day work today team finish project ahead schedule went celebrate also weath beauti today went long walk along riv nature alway help reset,0
brain fog ruin work performance used real sharp bare str sentence togeth,1
feel like fraud everyth genuine eventual everyone see incompetent real,1
need vent keep think giv everyth harm way stopp try altogeth,1
emotional pain intense become physical chest hurt stomach alway knot plu compare everyone alway come short ill nev good enough matt,1
tri new sport today even though terr fun ive month,0
want share mak great progress personal goal start learn piano last month already play song,0
cant rememb last time felt genuine total happy like part died long time ago,1
feel like fraud everyth eventual everyone see incompetent real also emotional pain intense become physical chest hurt stomach alway knot,1
feel grate health today took long bike ride felt wind face freedom,0
insomnia gotten bad havent prop night sleep week bare function plu sad wont away matt try like permanent cloud hang everyth,1
cant accept compliment know theyre complete polite nobody actual think worth anyth,1
anyone relate feel numb inside noth matter anymore wish could cry cant even feel anymore,1
chest feel tight time like there weight press hard breathe sometime,1
life feel meaning empty late day wonder point,1
memory gotten bad late forget conversation yesterday lose track also nobody tru care ask dont want real answ,1
great day feel grate health today took long bike ride felt wind face freedom,0
life update neighbor brought homemade cooky today world kind people,0
want share noth extraordinary happen today that perfect fine calm ordinary day gift,0
nobody tru care ask dont want total real answ,1
got fir today feel like life noth left reason keep going additional point try everyth fall apart eventual noth build ever last,1
cant sleep night thought wont stop rac day bare keep eye open also quit hobby one one none bring any satisfac anymore sit stare,1
creative breakthrough work art today everyth click into place also help strang carry grocery today small act kind alway make feel warm inside,0
life lost color mean exist dont real live,1
ive journey self improve past six month final start see result fit improv anxiety much manage relationship strong ever start therapy earli year best deci ever made anyone consider deserve inv,0
today one day remind life worth liv woke sunshine great breakfast went morn jog spent afternoon work pas project that mind month,0
keep breakdown random time show work driv cancell plan friend today cant bring socialize everyth hurt,1
cant concentrate anyth mind feel foggy time read paragraph five time therapist told write feeling goe feel like watch life outside body,1
feel like ive headache every day week stress sad literal mak sick,1
boss criticiz work today want disappear spent rest day fight back tear,1
need vent point try everyth fall apart eventual noth build ever last,1
sad wont away matt complete try like permanent cloud hang everyth,1
spent quality time partn today went museum dinn honest favorite restaurant,0
good vibe today set healthy boundary difficult cowork today felt empower free,0
motiva honest anyth productive even favorite hobby feel like point chore,1
fatigue complete overwhelm used able handle schedule even simple task drain complete,1
anyone relate life feel meaning empty late day wonder point,1
freedom feel grate health today took long bike ride felt wind face,0
anxiety roof cant func normal every small task feel like threat additional ive pretend okay long dont rememb okay actual feel like everyone think fine ive gotten good wear mask,1
anxiety roof cant func normal every small task feel like threat plu quit hobby one one none bring any satisfac anymore sit stare,1
appreciate simple thing complete warm cup tea good book quiet even life good,0
life update feel strong cap handl whatev challenge come way bring,0
anyone relate partn left dont know exist without reason kept going,1
appreciate simple thing warm cup tea good book quiet even life good,0
today mark three month since last felt anyth resembl happi post literal one else talk day autopilot bare minimum survive used ambitiou person goal dream depres stolen everyth apart mess havent done laundry week ive eat noth instant noodle,1
want share feel support lov people around lucky great support system,0
even met friend dinn laugh stomach hurt know every day like grate one today one day remind life worth liv woke sunshine great breakfast went morn jog spent afternoon work pas project that mind month,0
genuine feel balanc content life right everyth perfect peace,0
everyth overwhelm want shut world want silence peace moreov hate look mirror see noth failure disappoint star back,1
want spread positivity sat garden even listen bird pure peace content,0
went book club real meet tonight fantastic discus love intellectual stimula,0
start new online course data science material challeng love learn process additional great night sleep woke feel complete refresh today going good day,0
appreciate simple thing,0
fatigue overwhelm used able handle schedule even simple task drain complete additional ive lost fifteen pound last month cant bring eat food make nauseou,1
real complete proud accomplish week finish three major task still time,0
cry every night nobody understand ive stopp talk people dont get also push away last person car dont deserve kind deserve bett,1
want spread positivity great night sleep woke feel complete refresh today going good day,0
used love play guitar havent touch month genuine used love read cant focu,1
good vibe today got togeth friend game night laugh hard cheek hurt best even week,0
life lost color mean exist dont real live moreov point try everyth fall apart eventual noth build ever last,1
feel disconnect reality sometime dont even recognize anymore plu feel complete alone even people around there invis wall everyone else,1
great day neighbor brought homemade cooky today world kind people,0
cant honest accept compliment know theyre polite nobody actual think worth anyth,1
finish amaz workout tru gym hit new personal record squat feel proud,0
noth feel real anymore therapist told write feeling goe medica help sharp edge replac pain numb somehow worse motion there one home inside least pain could feel someth feel like watch life outside body,1
cry uncontrollab specific reason tear come cant stop cant accept compliment know theyre polite nobody actual think worth anyth,1
throwaway account havent able sleep day feel terr mind wont shut exhaus kill,1
want spread positivity real proud accomplish week finish three major task still time,0
thought scatter cant genuine complete single task start thing immediate forget,1
want share cook healthy meal scratch today felt real accomplish meal prepp whole week,0
feel like everyth overwhelm want shut world want silence peace,1
honest ive star wall hour unable motivate anyth what point try,1
cant make decision anymore even choos eat feel overwhelm paralyz,1
constant question wheth any matter going absolute forgotten anyway,1
hate look mirror see noth failure disappoint star back moreov noth make happy anymore ive lost inter thing used bring joy,1
cancell plan friend today cant bring socialize everyth hurt feel like going motion life without actual liv noth mean anymore,1
deep absolute conversa mom today talk life gave amaz advice,0
hate admitt matt achieve nev feel like enough empti alway come back strong,1
cry uncontrollab specific reason tear come cant stop additional ive pretend okay long dont rememb okay actual feel like everyone think fine ive gotten good wear mask,1
woke ear watch sunrise coffee quiet morn moment pure gold,0
quit hobby real one one none bring any satisfac anymore sit stare,1
noth make happy anymore ive lost inter thing used bring absolute joy,1
productive study ses library got two chapter actual understood everyth sat garden even listen bird pure peace content,0
anyone else feel way cant sleep night thought wont stop rac day bare keep eye open,1
point try everyth absolute fall apart eventual noth build ever last,1
set healthy boundary difficult cowork today felt empower free,0
great day cook healthy meal scratch today felt real accomplish meal prepp whole week,0
self esteem time low genuine hate genuine become,1
feel disconnect reality sometime real dont even recognize anymore,1
real proud accomplish week finish three major task still time also spent entire afternoon park dog weath perfect feel refresh happy,0
feel suffocat responsibility expectation everyone want someth real noth left,1
point try everyth fall apart eventual noth build ever last,1
gave presenta work front fifty people actual nail six month ago thought public speak would made physical sick ive work confidence practice prepara feel overcom fear absolute incred big milestone today,0
ive journey self improve past honest six month final start see result fit improv anxiety much manage relationship strong ever start therapy earli year best deci ever made anyone consider deserve inv,0
want spread positivity woke ear watch sunrise coffee quiet morn moment pure gold,0
wonder day work today team finish project ahead schedule went celebrate additional feel grate fami constant support great fami dinn tonight,0
ive panic attack almost every day heart race tru cant breathe think dying,1
honest emotional pain intense become physical chest hurt stomach alway knot,1
chest feel tight genuine time like there weight press hard breathe sometime,1
fatigue overwhelm used able handle schedule even simple task drain complete,1
ive isolat friend fami month dont energy pretend okay keep think giv everyth harm way stopp try altogeth,1
mak great progress personal goal start learn piano last month already play song final finish read book start gave complete new perspective care,0
hate admitt friend stopp invit thing alway say want cant make,1
life update weath beauti today went long walk along riv nature alway help reset,0
deep conversa mom today talk life complete gave amaz advice,0
anyone else feel way cry every night nobody understand ive stopp talk people dont get,1
want share today one day remind life worth liv woke sunshine great breakfast went morn jog spent afternoon work pas project that mind month even met friend dinn laugh stomach hurt know every day like grate one,0
final finish read book start gave complete new perspective care additional friend group organiz surprise party birthday feel bless people care,0
compare real everyone alway come short ill nev good enough matt,1
feel complete alone even people around absolute there invis wall everyone else,1
sad wont away honest matt try like permanent cloud hang everyth,1
cant eat sleep proper anymore body absolute fall apart along mental state,1
enjoy cook new recipe tonight turn way bett expect fami lov plu spent quality time partn today went museum dinn favorite restaurant,0
want spread positivity productive study ses library got two chapter actual understood everyth,0
deep conversa mom today talk life gave amaz advice productive study ses library got two chapter actual understood everyth,0
want share creative breakthrough work art today everyth click into place,0
therapist told write feeling goe feel like watch life outside body also ive lost fifteen pound last month cant bring eat food make nauseou,1
good vibe today today one day remind life worth liv woke sunshine great breakfast went morn jog spent afternoon work pas project that mind month even met friend dinn laugh stomach hurt know every day like grate one,0
cant make decision anymore even choos eat feel overwhelm paralyz also dont even know start ive struggl depres year late gotten much worse,1
confidence grow steadi spoke meet today everyone real listen,0
freedom took long bike ride felt wind face feel grate health today,0
tru set healthy boundary difficult cowork today felt empower free,0
feel total support lov people around lucky great support system,0
ran first five kilometer without stopp today three month ago couldnt genuine run two minute,0
feel calm peace morn medita ses twenty minute mindful real set tone day,0
creative breakthrough work art today everyth click into place plu reconnect old college friend video call like time pass,0
compare everyone alway come short ill nev good enough matt additional anoth breakdown work today manag ask simple ques froze,1
honest afraid future feel paralyz uncertainty cant plan anyth what point,1
keep breakdown random time show work driv cant control,1
feel like nobody would notice disappear everyone life invis,1
woke ear watch sunrise coffee quiet genuine morn moment pure gold,0
got togeth friend game night best even week laugh hard cheek hurt,0
friend group honest organiz surprise party birthday feel bless people care,0
cant eat sleep proper anymore honest body fall apart along mental state,1
thing going real well work got positive feedback real manag potential promo com,0
memory gotten bad late forget conversation yesterday lose track,1
constant question wheth any matter going forgotten anyway plu ive isolat friend fami month dont energy pretend okay,1
set healthy boundary difficult cowork today felt real empower free,0
final finish read book start gave complete new total perspective care,0
thought scatter cant complete genuine single task start thing immediate forget,1
life lost color mean exist dont real live day blend into next,1
today mark three month since last felt anyth resembl happi day autopilot bare minimum survive apart mess havent done laundry week ive eat noth instant noodle used ambitiou person goal dream depres stolen everyth,1
wonder day work today team finish project ahead schedule went celebrate additional real proud accomplish week finish three major task still time,0
set genuine healthy boundary difficult cowork today felt empower free,0
anoth breakdown work today manag ask simple ques froze couldnt think couldnt speak couldnt move everyone star eventual walk,1
feel strong cap handl whatev challenge come genuine way bring,0
hate look mirror see noth failure disappoint absolute star back,1
havent left apart two week thought interact people fill dread cry every night nobody understand ive stopp talk people dont get,1
finish amaz workout gym hit new personal record squat complete feel proud,0
feel like havent left apart two week thought interact people fill dread,1
food doesnt taste good anymore music doesnt move noth trigger any positive emo,1
enjoy cook new recipe tonight turn way bett expect fami lov ive journey self improve past six month final start see result fit improv anxiety much manage relationship strong ever,0
want share finish amaz workout gym hit new personal record squat feel proud,0
good vibe today creative breakthrough work art today everyth click into place,0
spent time nature today complete refresh mind went for trail wildflower everywhere additional enjoy cook new recipe tonight turn way bett expect fami lov,0
every night lie awake replay every mistake ive ever made lack sleep destroy ability func moreov brain fog ruin work performance used sharp bare str sentence togeth,1
great day weath beauti today went long walk along riv nature alway help reset,0
cry uncontrollab specific reason tear come total cant stop,1
final finish read book start tru gave complete new perspective care,0
life lost color mean exist dont real total live day blend into next,1
feel grate health today took long bike ride felt wind face,0
drown nobody see assignment deadline expectation college crush,1
life update complet project ive work three week sense accomplish incred,0
havent able sleep day feel terr mind wont shut exhaus kill additional push away last person car dont deserve kind deserve bett,1
productive study ses library got two chapter actual understood everyth also look forward weekend plan friend going hik national park,0
anoth breakdown work today manag ask simple ques froze also feel suffocat responsibility expectation everyone want someth noth left,1
ran first five kilometer without stopp today three month ago couldnt total run two minute,0
reconnect old college friend video call like time pass also spent quality time partn today went museum dinn favorite restaurant,0
anyone else feel way feel like drown emotion there one pull,1
mak great progress personal goal start learn piano last month already play complete song,0
throwaway account keep think giv everyth harm way stopp try altogeth,1
anyone else feel way everyth feel point cant see future used dream cant even imagine tomorrow,1
feel thank ive journey self improve past six month final start see result fit improv anxiety much manage relationship strong ever start therapy earli year best deci ever made anyone consider deserve inv,0
dont know tell feel disconnect reality sometime dont even recognize anymore,1
friend group organiz surprise party birthday feel bless absolute people care,0
help strang tru carry grocery today small act kind alway make feel warm inside,0
havent able sleep day feel real terr mind wont shut exhaus kill,1
final finish read book start gave tru complete new perspective care,0
tri new sport today even though terr honest fun ive month,0
hate admitt feel like drown emotion there one pull,1
self esteem time low genuine hate real become,1
afraid future feel paralyz uncertainty cant plan anyth what point,1
anoth breakdown work today manag ask simple ques froze couldnt think couldnt speak couldnt move everyone star eventual walk probab going get fir make everyth worse cycle nev end,1
great day got togeth friend game night laugh hard cheek hurt best even week,0
great day set healthy boundary difficult cowork today felt empower free,0
sleep fourteen hour day still wake exhaust gett bed feel like climb mountain ive putt sixty hour week complete burn noth left give,1
life update dont need everyth perfect happy today messy imperfect lov,0
great day final finish read book start gave complete new perspective care,0
feel balanc content life right everyth perfect peace,0
dont even know start ive struggl depres year late gotten much worse nobody tru care ask dont want real answ,1
feel suffocat responsibility expectation tru everyone want someth noth left,1
today one day remind life worth liv woke sunshine great breakfast went morn jog spent afternoon work pas project that real mind month even met friend dinn laugh stomach hurt know every day like grate one,0
dont know tell motiva anyth productive even favorite hobby feel like point chore,1
big milestone today gave presenta work front fifty people actual nail six month ago thought public speak would made physical sick ive work confidence practice prepara,0
feel like cry every night nobody understand ive stopp talk people dont get,1
feel grate fami constant support great fami dinn tonight moreov sat garden even listen bird pure peace content,0
keep think giv everyth harm way honest stopp try altogeth,1
life update set healthy boundary difficult cowork today felt empower free,0
keep reliv past honest trauma break every time memory wont leave alone,1
want share feel strong cap handl whatev challenge come way bring,0
feel worth nobody would notice disappear contribute noth anyone life havent able sleep day feel terr mind wont shut exhaus kill,1
disappoint everyone ever believ ive wast every opportunity ive given also cant sleep night thought wont stop rac day bare keep eye open,1
need vent ive putt sixty hour week complete burn noth left give,1
dont know tell cant eat sleep proper anymore body fall apart along mental state,1
deep conversa mom today talk life gave tru amaz advice,0
cry every night nobody understand ive stopp talk people dont get plu food doesnt taste good anymore music doesnt move,1
confidence absolute grow steadi spoke meet today everyone real listen,0
hate admitt self esteem time low genuine hate become,1
matt achieve nev feel like real enough empti alway come back strong,1
ive journey self improve past six month final start see result fit improv anxiety much manage relationship strong ever additional great night sleep woke feel complete refresh today going good day,0
thing going real well work got positive feedback manag potential promo com also ive journey self improve past six month final start see result fit improv anxiety much manage relationship strong ever,0
good vibe today ive consistent meditat thirty day difference mental clarity remark,0
weath beauti today went long walk along riv nature alway help reset also enjoy hobby ever start paint year bring much joy,0
great day feel optimistic future excit plan new year,0
chest feel tight time like there weight press hard breathe sometime everyth overwhelm want shut world want silence peace,1
anyone else feel way cant accept compliment know theyre polite nobody actual think worth anyth,1
honest dont even know start ive struggl depres year late gotten much worse cant hold job ive push away everyone car spend day lying bed star ceil know get help dont energy money therapy feel stuck end loop suffer dont see way anyone else actual made side,1
got togeth friend game night,0
mak great progress personal goal start learn piano last month already play absolute song,0
dont need everyth perfect happy today messy imperfect lov help strang carry grocery today small act kind alway make feel warm inside,0
enjoy hobby ever start paint year bring honest much joy,0
honest ive headache every day week stress sad literal mak sick,1
start new online course data science material challeng complete love learn process,0
feel complete grate fami constant support great fami dinn tonight,0
havent able sleep day feel terr mind wont shut exhaus kill plu anoth breakdown work today manag ask simple ques froze,1
ive panic attack almost every day heart race cant breathe think dying,1
food doesnt taste good anymore music doesnt move noth trigger any positive tru emo,1
great night sleep woke feel complete refresh today going good day additional reconnect old college friend video call like time pass,0
appreciate simple thing warm cup tea good book quiet even thing going real well work got positive feedback manag potential promo com,0
ive consistent meditat thirty day honest difference mental clarity remark,0
reconnect old college friend video call like time pass also met new friend network event today inspir conversa shar interest,0
feel hope dont know anymore every day feel noth change matt hard try plu keep breakdown random time show work driv,1
thing going real well work got positive feedback manag potential promo com,0
enjoy hobby ever start paint year real bring much joy,0
cant stop worry everyth could wrong mind create genuine disaster havent happen,1
woke ear watch sunrise coffee quiet morn moment total pure gold,0
hate admitt ive sleep alarm miss work cant seem care enough get anymore,1
throwaway account nobody real know much struggl put mask every day gett heavi,1
want spread positivity big milestone today gave presenta work front fifty people actual nail six month ago thought public speak would made physical sick ive work confidence practice prepara feel overcom fear absolute incred,0
productive study ses library got two chapter actual understood everyth also feel calm peace morn medita ses twenty minute mindful real set tone day,0
emotional pain intense become physical chest hurt stomach total alway knot,1
compare everyone alway come short ill nev good enough matt additional cant eat sleep proper anymore body fall apart along mental state,1
real push away last person car dont deserve kind deserve bett,1
real exact need right want yet mak steady progress,0
reconnect old college friend video call like time pass moreov neighbor brought homemade cooky today world kind people,0
constant question wheth any matter going forgotten anyway,1
want share set healthy boundary difficult cowork today felt empower free,0
anyone else feel way life lost color mean exist dont real live day blend into next,1
appreciate simple thing warm cup honest tea good book quiet even life good,0
brain fog ruin total work performance used sharp bare str sentence togeth,1
got togeth friend game night laugh hard cheek hurt plu finish amaz workout gym hit new personal record squat feel proud,0
want share got togeth friend game night laugh hard cheek hurt best even week,0
exact need right want yet mak steady progress also look forward weekend plan friend going hik national park,0
enjoy hobby ever start paint year bring much joy also real proud accomplish week finish three major task still time,0
good vibe today appreciate simple thing warm cup tea good book quiet even life good,0
dont need everyth perfect happy today messy imperfect lov additional complet project ive work three week sense accomplish incred,0
want spread positivity tri new sport today even though terr fun ive month,0
noth make happy anymore ive lost inter thing tru used bring joy,1
spent time nature today complete refresh mind went for trail wildflower everywhere feel grate fami constant support great fami dinn tonight,0
cant accept compliment know theyre polite absolute nobody actual think worth anyth,1
sometime wond anyone would even notice stopp show honest everyth,1
successful manag stress deadline work without los cool growth feel good additional look forward weekend plan friend going hik national park,0
sat garden even listen genuine bird pure peace content,0
need vent brain fog ruin work performance used sharp bare str sentence togeth,1
ive journey self improve past six month final start see result fit improv anxiety much manage relationship strong ever start therapy earli year best deci ever made,0
want spread positivity feel grate health today took long bike ride felt wind face freedom,0
feel like burden everyone around theyd bett without dragg friend stopp invit thing alway say want cant make,1
sleep fourteen hour day still wake exhaust gett bed absolute feel like climb mountain,1
anyone consider deserve inv ive journey self improve past six month final start see result fit improv anxiety much manage relationship strong ever start therapy earli year best deci ever made,0
neighbor brought homemade cooky today world absolute kind people,0
keep reliv past trauma break every time memory wont leave alone every relationship ive ever end broken push people away terrifi,1
want spread positivity organiz workspace today clarity brought think immediate,0
anoth breakdown work today,1
final finish read book start gave complete new perspective care,0
everyth feel point cant see future used dream cant even imagine tomorrow plu push away last person car dont deserve kind deserve bett,1
big milestone today total gave presenta work front fifty people actual nail six month ago thought public speak would made physical sick ive work confidence practice prepara feel overcom fear absolute incred,0
found best friend talk behind back genuine one person trust betray,1
feel like keep think giv everyth harm way stopp try altogeth,1
hate admitt feel suffocat responsibility expectation everyone want someth noth left,1
feel overcom fear absolute incred gave presenta work front fifty people actual nail six month ago thought public speak would made physical sick ive work confidence practice prepara big milestone today,0
cry every night nobody understand ive stopp talk people dont complete get,1
great night sleep woke feel honest complete refresh today going good day,0
feel complete alone even people around there invis wall everyone else plu ive sleep alarm miss work cant seem care enough get anymore,1
woke ear watch sunrise coffee quiet morn moment pure gold also successful manag stress deadline work without los cool growth feel good,0
compare everyone alway come short ill total nev good enough matt,1
spent time nature today complete refresh mind went for trail wildflower everywhere moreov ran first five kilometer without stopp today three month ago couldnt run two minute,0
good vibe today finish amaz workout gym hit new personal record squat feel proud,0
dont even know start ive struggl depres year late gotten much worse cant hold job ive push away everyone car spend day lying bed star ceil,1
ive pretend okay long dont rememb okay actual feel like everyone think fine ive gotten good wear mask underneath fall apart piece piece worst part know need help thought vulner someone terrify depres,1
reflect much ive grown past year genuine proud person becom moreov manag time real well today finish task dinn feel efficient,0
feel genuine like burden everyone around theyd bett without dragg,1
anxiety roof cant func normal every small task feel like threat plu chest feel tight time like there weight press hard breathe sometime,1
college crush assignment deadline expectation,1
neighbor brought homemade cooky today world tru kind people,0
cant sleep night thought wont stop rac day bare keep eye open also feel like nobody would notice disappear everyone life invis,1
sad wont away matt try like permanent cloud hang everyth,1
feel thank spent entire afternoon park dog weath perfect feel refresh happy,0
good vibe today feel balanc content life right everyth perfect peace,0
good vibe today help strang carry grocery today small act kind alway make feel warm inside,0
feel worth nobody would notice disappear contribute noth anyone life moreov cry every night nobody understand ive stopp talk people dont get,1
disappoint everyone ever believ total ive wast every opportunity ive given,1
ive isolat friend fami month dont energy pretend okay additional feel exhaust time even though noth productive exist take energy,1
dont know tell body ache constant doctor say noth physical wrong pain real though,1
feel like drown emotion there total one pull,1
deep conversa mom today talk life gave amaz advice also woke ear watch sunrise coffee quiet morn moment pure gold,0
nobody real know much struggl put mask every day gett heavi also cry uncontrollab specific reason tear come cant stop,1
nobody tru care ask dont want real answ cant stop worry everyth could wrong mind create disaster havent happen,1
ive headache every tru day week stress sad literal mak sick,1
there empti inside nev goe away ive tri everyth noth total fill void,1
deep conversa mom today talk life gave amaz advice also attend community volunte event morn giv back alway put thing perspective,0
cry every night nobody understand ive stopp talk people dont get,1
feel disconnect reality sometime dont even recognize anymore moreov disappoint everyone ever believ ive wast every opportunity ive given,1
life update got togeth friend game night laugh hard cheek hurt best even week,0
feel disconnect reality sometime dont even recognize anymore plu feel hope dont know anymore every day feel noth change matt hard try,1
every time someth total goe wrong know fundamental broken person,1
feel thank ran first five kilometer without stopp today three month ago couldnt run two minute,0
