feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,emotion
-7.748945,-3.283401,-0.673304,-0.061507,-1.650207,-4.160204,3.817218,-3.179882,-2.120783,-0.272624,-5.01744,-5.246682,-1.895057,2.32563,1.688004,0.559396,2.889484,2.297409,1.691014,1.664194,2.173416,3.826319,2.380524,1.796168,0.272899,1.664519,0.03696,0.038848,1658.847913,3199.312482,15.059712,27.339818,23.822183,18.387685,29.72623,calm
8.545555,3.863083,-3.086509,5.365378,-3.637642,-0.629435,3.91397,1.520307,-3.717486,3.40623,1.019863,-1.248601,-4.626028,2.434751,1.836572,2.156309,0.414799,1.581343,2.480305,3.876465,1.794718,3.443299,2.787348,2.233785,0.987658,1.029521,0.059263,0.043419,1815.391184,3424.143658,19.180846,27.50384,23.472512,33.0062,34.198526,neutral
-2.076169,-0.569504,-1.141574,1.96641,-3.300826,1.612788,-3.320212,-3.29911,-3.196905,-3.081524,3.067093,3.068073,0.411892,3.368438,5.381798,4.69484,2.821314,4.35056,4.298986,4.718451,6.749008,3.181568,4.554423,5.49602,5.718244,4.18055,0.072925,0.055128,3371.910539,5205.517367,20.640643,24.413228,30.89258,31.731717,33.933277,angry
0.509849,5.333969,-0.897225,3.851662,-0.193248,-0.780631,-2.004684,-0.602697,-0.205265,-5.752358,0.600162,-5.951981,0.603514,2.398953,3.221248,0.937898,0.812897,2.907259,0.725161,0.626767,2.008618,1.753308,1.955355,2.337727,2.34331,1.722127,0.020289,0.029498,1507.936731,2083.765329,23.78195,28.245167,29.187146,31.802516,27.046994,sad
3.463938,-3.322471,-2.003799,1.848139,0.748519,-1.251248,-1.074263,1.667102,2.410141,-6.002214,-0.818911,0.23452,-3.096469,3.079021,1.511479,3.10679,1.431658,2.059375,2.037262,3.462627,2.540997,1.342355,1.527745,1.523831,1.818497,0.855449,0.019512,0.040261,1797.821264,2030.544809,11.384024,20.034342,17.104477,22.683062,33.756045,sad
13.098484,3.102584,-2.906177,-2.594636,4.967734,-3.627813,1.43464,-5.333208,-0.900946,1.755451,-0.089898,1.57174,-3.678615,1.179998,2.481818,2.696888,2.219813,2.947058,0.342792,1.533802,3.822684,3.283469,2.633638,1.844633,3.034816,2.429142,0.027238,0.062447,1740.186976,3819.069065,11.920136,30.995097,24.625518,23.453318,28.557474,neutral
-5.49336,-0.195435,-4.12051,-4.675113,-7.414484,-0.663459,5.516655,-6.571554,-1.152489,-1.242622,-1.056199,3.170404,-3.265209,0.446253,0.965717,0.832166,0.730913,1.745487,0.313987,1.4169,1.13716,0.425984,2.390627,1.21854,1.554272,2.086406,0.032597,0.04145,1577.46817,2599.591704,20.789238,18.190422,29.972206,28.352301,35.24306,calm
-16.348628,0.026664,-3.28022,3.061029,1.603859,0.000372,0.311849,-2.888844,-2.888078,1.53308,2.140176,1.506787,-2.011748,1.108678,0.568243,2.268254,0.461456,0.704236,0.504859,0.642689,2.857141,2.286805,0.301403,1.394067,2.96579,2.000199,0.049029,0.038857,1623.107084,2610.8007,20.118223,27.680322,26.495625,27.209025,38.282602,calm
17.162939,-0.272342,3.852864,-1.688911,0.672378,0.954733,-0.227521,0.414558,0.019872,-1.447181,4.069241,0.95265,2.10431,3.163777,3.054726,3.092805,2.694583,4.418397,3.760745,3.018382,2.552946,2.881179,3.417622,4.49994,1.626952,3.659775,0.107041,0.043982,2432.068421,3489.031373,22.152648,21.208245,25.349305,26.944721,35.600817,happy
-2.829725,1.668813,2.67141,-0.822934,-4.316071,-3.636891,0.859163,2.961981,3.352426,0.504278,2.901899,5.737048,3.571043,2.922038,1.193443,2.96262,2.461232,2.650646,3.261106,2.358558,1.897454,0.930134,1.703484,2.212852,2.277619,2.243876,0.064393,0.060817,1981.373528,3144.149915,21.91679,34.231688,27.606214,27.52038,34.679181,neutral
4.769528,-3.667613,-1.827201,-4.21388,-0.865699,-1.380659,-1.587028,-1.049945,0.953404,0.609283,-4.618222,-3.52396,1.273118,1.01717,2.291897,2.639483,0.15842,1.393661,2.615034,1.653026,1.395825,2.631115,2.903906,1.12159,3.567131,0.015783,0.010957,0.026592,1424.730878,2413.370636,17.327474,19.371946,24.898438,26.050768,35.409639,sad
-0.391362,-5.989058,0.464078,-8.196115,-0.272333,-0.411638,-5.504745,-0.705687,-1.778647,-1.361062,-1.330714,-2.667174,-0.672901,4.365663,3.261047,3.449748,4.14916,5.769593,3.307195,1.797726,2.603312,4.102444,5.012624,2.554295,3.45658,3.519286,0.046161,0.110705,2584.144955,3956.933923,17.900478,27.781136,28.56968,26.814793,36.857341,fear
9.606381,2.349916,0.963786,4.088453,-0.215263,2.310964,1.104979,-0.34409,3.008654,0.876793,-2.919019,-3.903198,3.867172,1.7794,3.279384,3.054952,2.631468,4.956668,3.179674,3.755633,3.284816,2.768461,2.980911,4.458543,4.088105,4.951986,0.085319,0.054654,2334.806146,3429.866468,23.835221,20.070418,10.72341,41.318878,29.146994,happy
-5.481066,0.237799,-4.558323,-4.163496,1.368864,4.885196,5.238098,-1.939751,3.153996,-1.106337,1.850094,-1.531938,-4.304054,5.101827,5.362516,3.07921,4.436628,3.354993,5.68091,2.007091,3.321713,2.052743,1.913314,3.384108,3.04957,2.488689,0.075069,0.105975,2369.246632,2944.196535,21.697482,24.648633,21.78877,30.729279,29.465169,fear
-12.419118,2.693091,-1.17452,7.564573,2.900708,-0.390808,1.738436,-6.269398,2.887138,-2.460871,0.269199,-2.182868,-1.863955,1.818868,2.076833,1.973084,1.998015,0.374317,4.33205,2.23198,2.437567,1.660009,1.125845,2.151036,2.289277,3.301809,0.081164,0.068463,1470.041323,3306.624381,21.679086,20.998572,25.780866,18.274319,36.571065,neutral
0.222378,-3.258319,-4.941626,-3.515066,-1.507599,0.911155,-0.289629,2.995446,-1.907491,4.579361,0.490966,2.274899,-0.660577,5.016937,2.67277,2.76605,3.030483,5.175935,3.76292,3.05161,3.803595,4.172,2.92295,4.159565,3.863902,3.494143,0.074412,0.122214,2789.040859,3239.180055,21.780101,24.904611,30.664632,31.066161,32.692089,angry
-5.667085,-1.667141,1.048641,5.823334,-4.62226,-6.087557,-0.791232,3.092541,0.154128,-3.50799,0.23728,-5.19892,1.886751,1.690892,1.917968,2.427185,2.205689,1.45874,3.033613,2.796933,0.225716,1.769757,0.919713,0.731942,2.535134,1.580739,0.047858,0.041629,2111.052636,3784.905692,30.851274,22.095129,18.757913,26.480532,36.2353,neutral
-20.776448,5.566752,3.135774,-4.615007,-6.312587,0.088853,-3.360733,2.88448,1.182006,0.370137,-1.710769,4.800023,2.260356,2.603166,3.200056,0.981139,3.284738,1.735392,2.33473,1.843537,0.122134,2.957348,0.175517,1.033479,1.547175,0.046384,0.033491,0.05306,1896.004643,3389.055793,15.424968,23.230907,24.37376,20.795173,30.995407,neutral
7.383774,0.973212,6.938671,0.311294,1.225739,4.472409,0.297793,-0.739562,-5.261269,-1.309495,-1.338083,1.9757,-0.331375,5.158019,1.942371,4.400647,3.219753,3.806774,3.74602,0.781764,2.988447,2.737772,1.867022,3.459626,4.71654,0.326996,0.067173,0.048199,2526.916685,3843.701784,16.971614,26.447534,34.180907,42.306593,28.301855,happy
8.793254,0.666009,6.671655,0.693277,3.17336,0.999236,6.393458,1.760579,1.849243,1.080389,2.089536,5.098614,4.037532,3.028076,4.701325,3.872986,2.561819,1.619652,2.584986,3.413349,3.5972,4.359138,1.905454,2.560845,1.822357,1.661201,0.064932,0.076416,2789.272913,3544.790029,15.95362,14.100884,27.071761,25.339305,40.315157,happy
-3.182025,-1.493993,1.180876,4.838914,2.560656,1.700793,8.252846,-2.19723,-2.264154,0.436708,4.545079,-2.825058,5.263718,0.560878,1.878782,2.173466,1.117368,1.378766,2.79663,3.441556,0.11461,2.180236,1.886691,2.107396,1.683234,0.709513,0.073134,0.064492,1968.803243,3294.908451,16.952797,10.071734,27.7691,32.901618,32.689511,neutral
-18.956128,-5.296164,-0.638793,0.392005,-2.281416,1.298874,-5.723676,-0.304384,-4.055333,-4.292251,-3.794748,-1.742297,-0.183309,2.162979,1.509518,2.432267,3.486741,1.680589,1.894796,1.18827,1.408041,3.048347,3.058658,1.598933,2.290252,2.720457,0.017321,0.020206,1655.094514,2768.916285,23.746394,21.129256,33.615554,30.421324,26.262052,sad
8.264018,1.241252,0.492589,-2.931805,-2.890602,0.396151,0.92761,-0.846526,-2.344738,-1.308323,-1.058503,-0.074821,-1.566455,4.665709,3.389306,2.856682,3.419203,2.398612,5.513323,4.155515,3.487375,4.916458,3.294955,3.466538,2.795849,2.559452,0.063795,0.10128,1910.17173,3690.891637,18.982199,26.857742,23.842825,32.765622,35.577096,fear
9.689571,0.603257,-3.576102,-0.664282,-1.22145,-3.158958,1.493798,1.724558,2.178625,-2.972739,0.472353,-0.018826,0.922209,2.129726,1.987454,1.867276,3.106841,1.138186,1.826829,3.081371,1.188944,1.239912,2.733941,0.576086,2.660631,1.510365,0.05615,0.034741,2355.52288,2988.759767,23.624752,17.122688,35.041504,28.643091,41.754285,neutral
-6.41367,3.991713,6.816278,4.387765,-0.660564,1.349311,6.121287,-2.021099,3.847785,-2.84425,6.552113,0.209056,8.187131,4.728064,2.893569,2.280595,3.194775,2.819841,2.598433,1.341887,2.485446,1.889521,3.551648,3.991071,3.740684,3.342375,0.05953,0.073595,2797.286929,3718.606924,20.594932,22.272692,34.311833,33.257741,35.045798,happy
11.948068,-1.690734,-1.743747,2.917908,0.825307,2.811336,4.957554,-3.430839,1.527892,-2.697624,3.790412,-4.463315,1.852957,2.946386,4.054424,4.768115,2.855999,2.031645,3.241015,3.112585,2.215538,1.490505,4.716662,4.991616,2.898105,3.207388,0.07454,0.09647,2787.110048,4083.458103,14.873203,26.955385,22.510949,28.671962,37.562669,fear
-13.714192,3.024333,-6.247935,-3.437635,-3.445085,-2.25197,0.034743,-2.477929,-6.109233,1.390352,0.146853,1.226782,0.515754,2.954235,1.924518,3.012521,1.224303,1.28133,3.376039,3.355669,2.573742,1.110892,1.030368,3.328064,3.272665,1.936421,0.085128,0.055736,1667.840188,3384.234938,20.027353,23.431993,32.250016,24.218555,25.342439,neutral
13.591527,5.514914,3.626543,-0.226939,1.926779,-1.829081,1.531269,-4.371269,1.605856,0.734454,2.222256,0.86304,3.40517,3.236506,4.756473,4.472316,5.089492,5.156695,3.048091,4.517033,2.834316,5.159668,3.146876,3.619977,4.217554,4.738479,0.133367,0.119141,3005.616257,5146.459082,11.16592,28.130451,24.544145,26.847814,41.684041,angry
-10.232236,1.527118,-2.457152,-1.277546,3.109028,2.312463,-3.971471,2.642278,-5.149305,-5.403459,-1.879791,-0.021207,-1.573869,3.938916,3.123346,1.440677,3.309361,1.979407,3.503145,2.24712,4.017319,4.854676,1.770968,1.458121,3.199612,4.629361,0.062808,0.071467,1844.993626,4129.908615,27.68686,13.65312,27.469012,41.724501,28.971867,fear
-0.132043,-5.068425,0.307539,1.972834,3.012689,-0.336902,0.913317,1.650627,0.906802,0.055049,-2.816553,1.963264,-2.507473,6.102481,2.860178,4.302582,2.222489,3.023266,2.910781,2.132735,2.925591,3.860376,3.252595,4.692967,2.568587,4.197324,0.049334,0.102584,2458.511684,4261.929706,19.193161,29.646785,17.700165,31.231431,32.691123,fear
-18.545772,-6.031297,2.52572,2.293557,1.869104,-4.280771,5.485927,-2.265003,0.71843,0.755337,4.778793,0.375502,1.247524,1.922874,0.803401,0.318661,2.03258,0.587637,2.350177,2.14875,2.124434,0.947075,3.036544,2.474771,0.8183,4.068548,0.046838,0.033321,1772.494405,2866.265838,26.797135,28.402242,29.697398,31.75571,38.241711,neutral
-12.837172,0.600859,-0.693239,4.254922,-4.231836,10.807245,-0.523453,2.215335,4.162495,-0.587998,-0.344826,-1.508493,-2.656397,2.271859,1.864733,1.490626,1.549036,2.576233,1.202436,1.753035,2.898667,2.247225,0.950441,1.976129,2.437022,2.989272,0.038669,0.043018,1791.452003,3228.881516,22.025024,25.972446,31.254517,28.544125,24.973385,neutral
15.640833,7.217714,0.551377,3.574544,-5.28843,-2.27444,1.773363,-1.520199,7.617606,3.293639,4.397495,1.412921,-1.509624,2.48119,3.25438,2.362085,3.671192,3.711415,3.004981,1.174365,4.714785,2.787327,5.709277,3.652536,2.790045,3.447822,0.031537,0.087957,3462.602964,2997.167933,18.562955,22.473309,30.376143,39.529878,33.914411,happy
-7.767362,-0.909797,3.518591,-1.643151,5.0415,-5.0406,-1.045898,2.356646,2.541616,-1.007142,3.00526,2.436589,-2.046344,2.314928,2.703613,1.389465,3.694325,1.164638,2.144093,0.750223,2.10336,0.932927,1.705871,0.413402,2.799813,2.35628,0.066311,0.045652,2340.15421,3516.497451,20.565837,33.570267,23.57662,35.137295,34.398425,neutral
-0.651314,5.361543,3.678116,-1.730769,2.812495,0.328253,-0.547154,-2.957218,4.415756,-2.591589,1.34411,-1.338934,3.827532,2.665648,2.865537,2.899266,3.30257,3.013005,2.956727,2.481598,1.425271,1.881449,3.71848,2.694181,2.33599,1.594272,0.038728,0.057694,2833.01982,3732.606307,22.002428,19.984701,29.194333,27.241246,25.840579,happy
-12.004944,1.590734,2.31874,-3.02259,3.907774,1.848788,2.082479,-1.252659,2.73866,4.014672,1.881894,-0.041808,0.191792,3.220396,3.048797,3.904822,2.519742,1.781619,3.359386,2.52247,3.783682,3.007539,3.654813,1.985683,3.143386,2.300737,0.050711,0.054931,2295.821091,4597.453373,17.145298,16.642299,26.657387,29.145903,29.539735,happy
4.567553,-3.988885,4.004188,-2.127371,-1.764181,-6.079619,-1.567505,-1.975245,1.551846,-2.983608,-0.432179,-1.140262,-4.380394,4.238115,3.78076,4.039937,4.830193,4.007534,3.667035,4.922615,3.674311,3.495405,4.669562,3.219977,5.167234,4.160399,0.176484,0.098502,3426.717414,4016.505691,26.410469,26.446452,22.772679,33.324646,25.664156,angry
-12.698913,-1.420072,4.706755,1.036324,1.776187,-1.66091,1.696661,-1.568438,-1.127344,0.292549,2.835292,3.155543,3.237135,1.411916,2.993335,2.803218,1.467818,3.015984,2.749573,3.511526,3.081247,2.450679,3.925762,0.778766,2.935735,1.236749,0.058107,0.079184,2022.175945,3316.615447,31.909725,16.203555,34.252605,28.138989,29.375854,happy
-0.221274,-0.977597,-0.616975,-2.467845,2.111714,-3.127845,0.352578,1.667575,3.552609,2.315308,1.117288,-2.513196,-2.957325,0.361421,0.265734,1.498596,0.772583,2.699226,0.921038,1.594256,1.235356,0.096143,2.589441,2.195482,2.310522,2.094947,0.023165,0.0326,1922.036663,3555.451044,21.929894,27.892333,23.370638,34.489255,29.902658,calm
-5.725024,0.466672,-0.345503,-5.482081,2.3597,-1.432018,0.124378,6.006466,3.259327,0.031588,-4.71921,-4.669005,2.886133,1.098184,1.331585,0.354532,1.945851,2.641413,3.02355,1.05185,2.144878,1.404913,2.380279,1.496033,0.675874,2.820158,0.030887,0.036485,1848.000636,2734.80949,22.076261,22.018501,22.026025,40.884497,26.963538,calm
-0.764825,-8.231404,1.669544,1.271925,-0.616249,1.847543,1.205106,-2.690055,-1.259359,-3.623356,3.786717,2.331541,-3.041752,2.118876,1.778592,0.814047,1.624327,2.358385,2.43992,3.831984,1.594289,1.262211,2.06214,1.317037,0.915096,0.574217,0.000849,0.047348,1357.747092,2683.25276,21.462218,21.392466,36.746486,21.4538,43.193605,calm
12.449064,-0.154752,5.31718,-0.609211,-4.115629,-3.024524,2.473366,-4.001555,1.07363,-1.670258,-3.389477,3.559559,-2.365698,0.672429,1.421107,0.991762,3.714986,2.560357,0.909308,1.024663,0.519448,1.637404,0.752941,1.588011,0.466274,1.473244,0.045288,0.040541,1590.835809,2992.631979,19.678756,33.959166,24.33579,22.983533,32.107291,calm
7.249442,3.775568,2.835984,0.550997,-1.50541,2.294154,1.751678,4.245469,1.0473,0.607975,0.811502,-1.25618,5.84073,4.139629,1.78697,3.803948,1.154995,3.985289,2.30365,3.359901,1.07049,1.801296,3.468703,2.299092,2.160037,4.395862,0.133063,0.086398,2090.544786,4846.48928,12.192839,21.477543,26.273889,38.620189,36.563296,happy
9.440839,-5.032751,1.888788,0.262257,0.298924,-2.302593,-5.28971,0.600818,1.757644,0.591454,-1.332095,-4.313763,-2.769214,3.950242,2.709904,2.538004,2.053391,4.035235,4.014202,4.654154,1.355909,4.671861,4.613476,4.708651,3.619617,3.721791,0.063908,0.06174,1912.729624,3902.940369,18.754457,26.580543,24.217385,21.656535,24.889981,fear
